,Avg Effective N,Avg Turnover,Beta,CAGR,CVaR 95,Calmar,Hit Rate,Information Ratio,Max Drawdown,Sharpe,Sortino,Tracking Error,VaR 95,Volatility
Equal weight,11.982758620689655,0.003352490421455939,0.5046689404750763,0.05746215903209295,-0.05168212683501264,0.3021552149830515,0.6264367816091954,-1.0423639688608286,-0.19017430837762017,0.6967620828157244,0.6585938418295845,0.08454521092621789,-0.03707976194517882,0.0856228197305699
Inverse volatility,9.353910419896165,0.00895853983362795,0.38009079378347105,0.047092464708683224,-0.043715855777072536,0.2607766652905973,0.6091954022988506,-1.0097018897944163,-0.18058542414523782,0.6906205177132829,0.6683934939015979,0.09826239188090767,-0.03127567536340744,0.07032790338202456
Minimum variance,4.568260699844513,0.021620702460955262,0.21187014308112143,0.03671716674942482,-0.03429232082328812,0.2559394380758312,0.632183908045977,-0.9318959394289381,-0.14346037103725318,0.7210183843592951,0.6608800099175354,0.1183879872577758,-0.022061021907943394,0.05195475182211486
Risk parity,9.589359344165553,0.01744958343989445,0.360113535960324,0.04795814036789414,-0.04360619591976754,0.2653907763047794,0.6206896551724138,-0.962856648592687,-0.18070763813139523,0.7023242195111231,0.6751617022472735,0.10218238992009002,-0.03380174556410719,0.07033592313247025
Momentum,4.0,0.17672413793103448,0.5910898534711402,0.07490215942683331,-0.07576304421171315,0.41194948988595637,0.6091954022988506,-0.6841429185798854,-0.18182364893222502,0.6805477464117021,0.6284252601061251,0.10005670179252035,-0.046271296255977694,0.11657158847668951
SPY buy and hold,1.0,0.0,,0.14708641925574995,-0.08317626426793266,0.6147252892246889,0.6954022988505747,,-0.23927178828328344,1.0545976034708842,0.9613043982509517,,-0.06036829094506519,0.1401346023685855
60/40 SPY/IEF,2.0,0.007989570377991978,0.6131537706478707,0.09404632989490613,-0.05143824132097139,0.4584307014927555,0.7011494252873564,-0.8987005174444951,-0.20514841084741864,1.0531617503938693,0.9470886010256783,0.059629408834462515,-0.03997999480533108,0.08944175499308284
